timestamp,indoor_temperature_c,outdoor_temperature_c,indoor_humidity_pct,outdoor_humidity_pct,indoor_pm25_ug_m3,outdoor_pm25_ug_m3,event
2025-06-01T00:00:00+00:00,26.86,19.8,55,60,10,14,
2025-06-01T01:00:00+00:00,26.48,19.2,55,60,10,14,
2025-06-01T02:00:00+00:00,25.92,19.0,55,60,10,14,
2025-06-01T03:00:00+00:00,25.22,19.2,55,60,10,14,
2025-06-01T04:00:00+00:00,24.99,19.8,55,60,10,14,
2025-06-01T05:00:00+00:00,24.99,20.76,55,60,10,14,
2025-06-01T06:00:00+00:00,24.71,22.0,55,60,10,14,Windows Closed
2025-06-01T07:00:00+00:00,24.69,23.45,55,60,10,14,
2025-06-01T08:00:00+00:00,25.16,25.0,55,60,10,14,
2025-06-01T09:00:00+00:00,25.36,26.55,55,60,10,14,
2025-06-01T10:00:00+00:00,26.18,28.0,55,60,10,14,
2025-06-01T11:00:00+00:00,26.77,29.24,55,60,10,14,
2025-06-01T12:00:00+00:00,26.96,30.2,55,60,10,14,
2025-06-01T13:00:00+00:00,27.48,30.8,55,60,10,14,
2025-06-01T14:00:00+00:00,27.87,31.0,55,60,10,14,
2025-06-01T15:00:00+00:00,29.01,30.8,55,60,10,14,
2025-06-01T16:00:00+00:00,28.96,30.2,55,60,10,14,
2025-06-01T17:00:00+00:00,29.23,29.24,55,60,10,14,
2025-06-01T18:00:00+00:00,29.08,28.0,55,60,10,14,
2025-06-01T19:00:00+00:00,29.0,26.55,55,60,10,14,
2025-06-01T20:00:00+00:00,28.99,25.0,55,60,10,14,
2025-06-01T21:00:00+00:00,28.19,23.45,55,60,10,14,Windows Opened
2025-06-01T22:00:00+00:00,28.21,22.0,55,60,10,14,
2025-06-01T23:00:00+00:00,27.86,20.76,55,60,10,14,
2025-06-02T00:00:00+00:00,27.14,19.8,55,60,10,14,
2025-06-02T01:00:00+00:00,25.79,19.2,55,60,10,14,
2025-06-02T02:00:00+00:00,25.89,19.0,55,60,10,14,
2025-06-02T03:00:00+00:00,25.62,19.2,55,60,10,14,
2025-06-02T04:00:00+00:00,25.38,19.8,55,60,10,14,
2025-06-02T05:00:00+00:00,25.27,20.76,55,60,10,14,
2025-06-02T06:00:00+00:00,24.55,22.0,55,60,10,14,Windows Closed
2025-06-02T07:00:00+00:00,24.78,23.45,55,60,10,14,
2025-06-02T08:00:00+00:00,25.18,25.0,55,60,10,14,
2025-06-02T09:00:00+00:00,25.41,26.55,55,60,10,14,
2025-06-02T10:00:00+00:00,25.85,28.0,55,60,10,14,
2025-06-02T11:00:00+00:00,26.43,29.24,55,60,10,14,
2025-06-02T12:00:00+00:00,26.82,30.2,55,60,10,14,
2025-06-02T13:00:00+00:00,27.88,30.8,55,60,10,14,
2025-06-02T14:00:00+00:00,27.82,31.0,55,60,10,14,
2025-06-02T15:00:00+00:00,28.37,30.8,55,60,10,14,
2025-06-02T16:00:00+00:00,29.28,30.2,55,60,10,14,
2025-06-02T17:00:00+00:00,29.02,29.24,55,60,10,14,
2025-06-02T18:00:00+00:00,29.12,28.0,55,60,10,14,
2025-06-02T19:00:00+00:00,29.49,26.55,55,60,10,14,
2025-06-02T20:00:00+00:00,29.34,25.0,55,60,10,14,
2025-06-02T21:00:00+00:00,28.47,23.45,55,60,10,14,Windows Opened
2025-06-02T22:00:00+00:00,28.21,22.0,55,60,10,14,
2025-06-02T23:00:00+00:00,27.62,20.76,55,60,10,14,
2025-06-03T00:00:00+00:00,26.87,19.8,55,60,10,14,
2025-06-03T01:00:00+00:00,26.81,19.2,55,60,10,14,
2025-06-03T02:00:00+00:00,25.7,19.0,55,60,10,14,
2025-06-03T03:00:00+00:00,25.34,19.2,55,60,10,14,
